,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
3719,size,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/10/2019 9:41,10/17/2019 15:20,7,Oh Kie Hock,General info on Development Control guidelines and handbooks
3720,size of property,Catch all,,Catch all,,No Feedback,10/10/2019 9:41,10/17/2019 15:20,7,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
3721,how can i phone you,General Information about URA,,General Information about URA,,No Feedback,10/10/2019 9:36,10/17/2019 15:19,7,Oh Kie Hock,General Information about URA
3722,phone number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/10/2019 9:37,10/17/2019 15:19,7,Oh Kie Hock,General Information about URA
3723,how to check size of conserved building,General information on building conservation,Top Match,General information on building conservation,,No Feedback,10/10/2019 9:41,10/17/2019 15:19,7,Oh Kie Hock,General information on building conservation
3724,Lease extension Does extension of private property lease needs to be done in blocks of 3 months as well,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/10/2019 9:45,10/17/2019 15:19,7,Oh Kie Hock,General info on renting private residential property
3725,where to find The number on the plot represents the maximum permissible plot ratio,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 10:58,10/17/2019 15:18,7,Oh Kie Hock,General info on buying and renovating private residential properties
3726,condo units are under URA right,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/10/2019 11:01,10/17/2019 15:17,7,Oh Kie Hock,General info on renting private residential property
3727,can foreigner buy whole condominium,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/10/2019 11:20,10/17/2019 15:17,7,Oh Kie Hock,General info on buying and renovating private residential properties
3728,Which areas in Singapore is under the Entrap Region,Catch all,Top Match,Catch all,,No Feedback,10/10/2019 11:42,10/17/2019 15:17,7,Oh Kie Hock,General Info on URA SPACE map service
3729,in Singapore are under The Central Region,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/10/2019 11:42,10/17/2019 15:17,7,Oh Kie Hock,General Info on URA SPACE map service
3730,Which part of Singapore classified as The Central Region,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/10/2019 11:43,10/17/2019 15:17,7,Oh Kie Hock,General Info on URA SPACE map service
3731,URA Grant of Temporary Permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/10/2019 12:09,10/17/2019 15:16,7,Oh Kie Hock,What is a Temporary Written Permission?
3732,how can i register tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/10/2019 13:51,10/17/2019 15:14,7,Oh Kie Hock,General info on renting private residential property
3733,angle lourves,Can I enclose my balcony?,,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/10/2019 14:14,10/17/2019 15:14,7,Oh Kie Hock,
3734,lightweight screens include angled louvres or slanted vertical panels,Can I enclose my balcony?,,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/10/2019 14:18,10/17/2019 15:14,7,Oh Kie Hock,General info on Development Control guidelines and handbooks
3735,Building height plan,General information on planning process,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 14:23,10/17/2019 15:14,7,Oh Kie Hock,General info on buying and renovating private residential properties
3736,edarad,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,10/10/2019 15:48,10/17/2019 15:13,7,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
3737,I need to log in to other website,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,10/10/2019 15:29,10/17/2019 15:13,7,Oh Kie Hock,General info for feedback on e-Service errors
3738,what is the BCA service hotdesk number,General Information about URA,,Catch all,,No Feedback,10/11/2019 9:56,10/17/2019 15:03,6,Oh Kie Hock,General info for feedback on e-Service errors
3739,Within GCBA plot width required 185m apply to rear boundary,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/10/2019 17:50,10/17/2019 15:02,7,Oh Kie Hock,General info on Development Control guidelines and handbooks
3740,how do i get data on gross plot ratio,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,10/10/2019 22:20,10/17/2019 15:02,7,Oh Kie Hock,General info on buying and renovating private residential properties
3741,With GCBA plot width is it 185m,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/10/2019 17:50,10/17/2019 14:54,7,Oh Kie Hock,General info on Development Control guidelines and handbooks
3742,Bungalow plot width,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/10/2019 18:04,10/17/2019 14:54,7,Oh Kie Hock,General info on Development Control guidelines and handbooks
3743,master plan zoning,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 21:18,10/17/2019 14:54,7,Oh Kie Hock,General Info on URA SPACE map service
3744,tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/11/2019 8:53,10/17/2019 14:53,6,Oh Kie Hock,General info on renting private residential property
3745,age of the building,How can I obtain the approved plan for my property?,,Catch all,,No Feedback,10/11/2019 8:13,10/17/2019 14:53,6,Oh Kie Hock,General info on Street and Building Names
3746,Can foreigners rent a landed property,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/11/2019 1:22,10/17/2019 14:53,6,Oh Kie Hock,General info on renting private residential property
3747,what is the building height limit of 32 jalan manis,General info on buying and renovating private residential properties,Top Match,General info on buying and renovating private residential properties,,No Feedback,10/11/2019 10:04,10/17/2019 14:53,6,Oh Kie Hock,General info on buying and renovating private residential properties
3748,height limit,General info on buying and renovating private residential properties,,General info on buying and renovating private residential properties,,No Feedback,10/11/2019 10:06,10/17/2019 14:53,6,Oh Kie Hock,General info on buying and renovating private residential properties
3749,commerical property details,General info on renting private residential property,,Catch all,,No Feedback,10/11/2019 11:31,10/17/2019 14:52,6,Oh Kie Hock,General info on renting private residential property
3750,how to find out tenure of commercial propertiess,General information on property market,Top Match,Catch all,,No Feedback,10/11/2019 11:31,10/17/2019 14:52,6,Oh Kie Hock,General Info on URA SPACE map service
3751,Where can i get tbe circular on additions and alterations proposals within a strata unit,"General info on Additions and Alterations, and DC Forms",Top Match,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/11/2019 11:25,10/17/2019 14:52,6,Oh Kie Hock,What does strata area refer to?
3752,can I use my shophouse for backpacker,General info on change of use,Top Match,General info on change of use,,No Feedback,10/11/2019 10:09,10/17/2019 14:51,6,Oh Kie Hock,General info on change of use
3753,I would like to register for HOme Office scheme but link to do is broken,Catch all,Top Match,Catch all,,No Feedback,10/11/2019 11:22,10/17/2019 14:51,6,Oh Kie Hock,General Info on Home Business
3754,Addtions and alterations proposals within a strata unit,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/11/2019 11:24,10/17/2019 14:51,6,Oh Kie Hock,What does strata area refer to?
3755,Circular,Where can I find the latest URA circulars?,Top Match,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,Incorrect,10/11/2019 11:24,10/17/2019 14:51,6,Oh Kie Hock,Where can I find the latest URA circulars?
