question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
I would like to find a season car park along south bridge road,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/2/2019 16:48,10/4/2019 9:34,2,Kan Yuan Jing,Car Parks-Season Parking-Apply
can i apply season parking if im not the residents,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/2/2019 17:41,10/4/2019 9:34,2,Kan Yuan Jing,Car Parks-Season Parking-Apply
How much is the car park rates at Clarke quay ura,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/3/2019 9:20,10/4/2019 9:34,1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
can i exchange unused 2018 parking coupons at URA Maxwell Road,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,10/3/2019 10:30,10/4/2019 9:33,1,Kan Yuan Jing,(PON) What should I do if I wish to return unused / wrongly torn coupons?
to book parking lots 2 days for rubbish bin at 27b Jalan Membina,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,10/3/2019 10:52,10/4/2019 9:33,1,Kan Yuan Jing,Car Parks-Season Parking-Apply
l want to know which email address l can sent by email for the fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/3/2019 11:32,10/4/2019 9:33,1,Kan Yuan Jing,General Information about URA
buy season parking for heavy vechicle,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/3/2019 12:27,10/4/2019 9:33,1,Kan Yuan Jing,Car Parks-Season Parking-Apply
How may i print the clearance slip,(WA) I missed court and was issued a Warrant of Arrest (WA). How do I settle it?,,(WA) I missed court and was issued a Warrant of Arrest (WA). How do I settle it?,Car Parks,No Feedback,10/3/2019 12:56,10/4/2019 9:33,1,Kan Yuan Jing,What do I need to do upon payment of all my outstanding Warrant of Arrest?
Good afternoon How to terminate seasong parking,Car Parks-Season Parking-Terminate,Top Match,Car Parks-Season Parking-Terminate,,No Feedback,10/3/2019 15:19,10/4/2019 9:32,1,Kan Yuan Jing,Car Parks-Season Parking-Terminate
temporary transfer carpark,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer-Temporary Transfer,,No Feedback,10/3/2019 16:42,10/4/2019 9:31,1,Kan Yuan Jing,Car Parks-Season Parking-Transfer-Temporary Transfer
i applied for season parking on Mon but have not received any reply on the aplication todate,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/3/2019 16:43,10/4/2019 9:31,1,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to buy URA car park for construction use,Car Parks-Season Parking-Apply,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,10/3/2019 23:49,10/4/2019 9:30,1,Kan Yuan Jing,General Information about URA
how to buy ura car park lot for construction skip bin,Car Parks-Season Parking-Apply,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,10/3/2019 23:54,10/4/2019 9:30,1,Kan Yuan Jing,"(STPC) Although I am not parked in a proper parking lot, I think that I am not causing obstruction to the t"
not season parking only for one day,Car Parks-Season Parking-Apply,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,10/3/2019 23:54,10/4/2019 9:30,1,Kan Yuan Jing,Car Parks-Season Parking-Apply
I am trying to pay my parking fine at the axs station My notice number is 978102638E But the notice number displayed on the axs screen is 97802638EShort of the no 1,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/2/2019 9:10,10/2/2019 16:54,<1,Kan Yuan Jing,Car Parks-Parking Offences
Morning Jamie Ive appealed my fine which i received on the 8th of Sep but till now is has no new yet after 14 days from URA,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/2/2019 9:48,10/2/2019 16:54,<1,Kan Yuan Jing,General info for feedback on e-Service errors
Hi I had emailed a appeal to URA on 28919 may I check with you is there any update Appeal on Parking Offence Notices and Court Summonses OA1234185444,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/2/2019 11:03,10/2/2019 16:54,<1,Kan Yuan Jing,General Information about URA
How do I submit an appeal for my parking offence or check its appeal status,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/2/2019 11:52,10/2/2019 16:54,<1,Kan Yuan Jing,(Payment) When do I need to make payment for the notice of parking offence?
Hi where is the nearest URA carpark around Raffles PLace,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/2/2019 13:26,10/2/2019 16:52,<1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
can I check my season parking FBQ2899Y,Car Parks-Season Parking-Apply,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/2/2019 15:05,10/2/2019 16:52,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to apply tempory parking lot for material near our shop house,Car Parks-Use of Parking lot for non-parking purpose,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,10/2/2019 16:07,10/2/2019 16:50,<1,Kan Yuan Jing,Car Parks-Use of Parking lot for non-parking purpose
how to buy the season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/2/2019 16:09,10/2/2019 16:50,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
parking lot for temporary for our material,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,10/2/2019 16:21,10/2/2019 16:50,<1,Kan Yuan Jing,Car Parks-Season Parking-Transfer-Temporary Transfer
Where can I find the icon of URA SPACE map service,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/2/2019 8:52,10/2/2019 9:00,<1,Benjamin Chow,General Info on URA SPACE map service
Can I use the parkingsg app for parking the whole day,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,Car Parks-Other car park matters-Parking.sg,,No Feedback,10/1/2019 19:14,10/2/2019 9:00,1,Benjamin Chow,Car Parks-Other car park matters-Parking.sg
Can I use the parking app for whole day parking,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,Car Parks-Other car park matters-Parking.sg,,No Feedback,10/1/2019 19:14,10/2/2019 9:00,1,Benjamin Chow,Car Parks-Other car park matters-Parking.sg
How much is the fine for3A,,,Car Parks Main,,No Feedback,10/1/2019 18:47,10/2/2019 8:59,1,Benjamin Chow,(Common Offences) What are the types of parking offences and composition amount?
Car park fine 3a,,,Car Parks Main,,No Feedback,10/1/2019 18:48,10/2/2019 8:59,1,Benjamin Chow,Car Parks Main
Whole day parking,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,Incorrect,10/1/2019 19:14,10/2/2019 8:55,1,Benjamin Chow,(STPC) Where can I find information on URA car park locations and parking charges?
where can i find more information about the master plan committee,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/1/2019 22:34,10/2/2019 8:54,1,Benjamin Chow,General Info on URA SPACE map service
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,10/1/2019 23:08,10/2/2019 8:54,1,Benjamin Chow,General Information about URA
live agent,General Information about URA,Top Match,General Information about URA,,No Feedback,10/1/2019 23:09,10/2/2019 8:54,1,Benjamin Chow,General Information about URA
I need to transfer current season parking to new vehicle,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,10/1/2019 23:41,10/2/2019 8:54,1,Benjamin Chow,Car Parks-Season Parking
How am I able to check the legal residents allowed in an apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 5:52,10/2/2019 8:53,<1,Benjamin Chow,General info on renting private residential property
May I check the name of persons currently staying at an apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 5:54,10/2/2019 8:53,<1,Benjamin Chow,General info on renting private residential property
How do I know who is residing in an apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 5:55,10/2/2019 8:53,<1,Benjamin Chow,General info on renting private residential property
can temporary transfer of vehicle change to permanent transfer,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,10/2/2019 8:22,10/2/2019 8:53,<1,Benjamin Chow,Car Parks-Season Parking
I cannot see any vacancy of HDB car park my completion date on 16 DEC and I would like to rent seaon car park starting at JAN 2020,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/2/2019 8:23,10/2/2019 8:53,<1,Benjamin Chow,Car Parks-Season Parking-Apply
Parking division contact no,General Information about URA,Top Match,General Information about URA,,No Feedback,10/2/2019 8:35,10/2/2019 8:53,<1,Benjamin Chow,General Information about URA
Parking division telephone contact no,General Information about URA,Top Match,General Information about URA,,No Feedback,10/2/2019 8:36,10/2/2019 8:53,<1,Benjamin Chow,General Information about URA
I am the flat owner but cannot buy season car park,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/2/2019 8:38,10/2/2019 8:53,<1,Benjamin Chow,Car Parks-Season Parking-Apply
How to check the plot ratio of land property at 166 choa chu kang ave 1,How can I find the approved plot ratio of a development?,Top Match,How can I find the approved plot ratio of a development?,Land Use Planning > Master Plan,No Feedback,10/2/2019 8:49,10/2/2019 8:53,<1,Benjamin Chow,General info on buying and renovating private residential properties
rezoning application,What are the processing fees for development applications?,,Catch all,,No Feedback,10/1/2019 17:18,10/1/2019 17:59,<1,Benjamin Chow,Car Parks-Use of Parking lot for non-parking purpose
form for rezoning application,(SPT) My company has a few vehicles that have been issued with Season Parking Tickets. Can I submit one GIRO application form for all of the vehicles?,,Catch all,,No Feedback,10/1/2019 17:19,10/1/2019 17:59,<1,Benjamin Chow,Catch all
masterplan rezoning,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/1/2019 17:19,10/1/2019 17:59,<1,Benjamin Chow,General Info on URA SPACE map service
ura rezoning application,What are the processing fees for development applications?,,Catch all,,No Feedback,10/1/2019 17:20,10/1/2019 17:59,<1,Benjamin Chow,This is URA Careers. How can I help you?
rezoning,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/1/2019 17:20,10/1/2019 17:59,<1,Benjamin Chow,General information on planning process
hello i live at 305 Jalan besar S208966 where can i apply for season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/1/2019 17:24,10/1/2019 17:58,<1,Benjamin Chow,Car Parks-Season Parking-Apply
land usage guideline for private property,General info on renting private residential property,Top Match,General Info on URA SPACE map service,,No Feedback,10/1/2019 17:23,10/1/2019 17:58,<1,Benjamin Chow,General Info on URA SPACE map service
land usage,General information on land sales,Top Match,General Info on URA SPACE map service,,No Feedback,10/1/2019 17:24,10/1/2019 17:58,<1,Benjamin Chow,General Info on URA SPACE map service
private residential parking lot,(UPL) How do I apply for the use of parking lots?,,Car Parks-Season Parking-Apply,,No Feedback,10/1/2019 17:25,10/1/2019 17:57,<1,Benjamin Chow,Car Parks-Season Parking-Apply
